Country,Year,GDP_Per_Capita_USD,National_RAI,SSR,Mean_RAI,Median_RAI,Min_RAI,Max_RAI,Total_Production_tonnes_paddy,Imports_tonnes_paddy_equiv,Exports_tonnes_paddy_equiv,Total_Population,Per_Capita_Consumption_kg,High_Risk_Cells,Medium_Risk_Cells,Low_Risk_Cells,Excellent_Cells,Total_Cells,High_Risk_Percent,Medium_Risk_Percent,Low_Risk_Percent,Excellent_Percent
China,2010,4629.25,17.42,17.67,15.40,1.58,0.00,500.00,30048658,1312590,915061,1335397760,127.35,108258,7807,3072,3461,122598,88.30,6.37,2.51,2.82
India,2010,1347.52,34.39,34.97,41.82,24.91,0.00,500.00,42851568,142,3338020,1193582208,102.67,26380,4463,3160,7412,41415,63.70,10.78,7.63,17.90
Indonesia,2010,3065.68,22.97,23.64,58.28,34.44,0.00,500.00,11399076,1028652,518,237152544,203.36,15102,4034,2326,5344,26806,56.34,15.05,8.68,19.94
Bangladesh,2010,757.39,29.74,30.12,34.71,34.48,4.80,234.19,11090953,1019405,5782,146032320,252.13,1414,600,33,19,2066,68.44,29.04,1.60,0.92
Vietnam,2010,1683.16,32.00,32.93,38.68,32.64,0.00,209.40,7266986,1474,10339438,88404632,249.66,3035,901,338,330,4604,65.92,19.57,7.34,7.17
Thailand,2010,4973.86,96.57,98.30,117.19,102.73,0.00,500.00,11875277,7904,13358627,66412000,181.90,758,731,854,4459,6802,11.14,10.75,12.56,65.55
Myanmar,2010,1010.53,69.55,72.39,97.58,71.59,0.00,500.00,7869077,2384,889210,52611188,206.63,1764,1937,1384,4098,9183,19.21,21.09,15.07,44.63
Philippines,2010,2162.91,26.10,26.38,40.13,32.70,0.00,261.31,4083018,3567067,259,91796464,168.64,3129,991,419,611,5150,60.76,19.24,8.14,11.86
Pakistan,2010,987.30,95.26,98.74,122.85,105.49,0.00,500.00,2376160,2888,6268257,182721152,13.17,3603,761,805,7184,12353,29.17,6.16,6.52,58.16
Japan,2010,44968.16,20.68,22.21,49.16,34.38,0.00,500.00,1549003,995993,57346,129154304,54.00,3812,1150,618,1225,6805,56.02,16.90,9.08,18.00
Cambodia,2010,952.27,81.27,84.91,112.68,100.16,9.16,500.00,2842096,106480,76767,14098748,237.42,106,299,379,1550,2334,4.54,12.81,16.24,66.41
Laos,2010,1125.92,54.17,55.97,63.18,54.45,20.09,500.00,862132,64160,0,6238248,246.91,531,1344,717,529,3121,17.01,43.06,22.97,16.95
Sri Lanka,2010,2808.37,26.43,26.80,51.34,48.65,0.01,165.99,1041832,225563,15746,21529866,180.53,384,153,152,196,885,43.39,17.29,17.18,22.15
Nepal,2010,585.28,47.60,47.28,42.34,41.94,1.40,305.52,1584976,147243,542,25675374,130.57,992,663,422,64,2141,46.33,30.97,19.71,2.99
